City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,mehamn,71.0357,27.8492,0.97,80,75,8.23,NO,1677874547
84,cabo san lucas,22.8909,-109.9124,24.23,60,0,3.6,MX,1677874501
85,thabazimbi,-24.5917,27.4116,19.0,74,16,2.23,ZA,1677874671
86,castro,-24.7911,-50.0119,22.05,88,99,3.95,BR,1677874490
87,pisco,-13.7,-76.2167,28.03,54,0,7.72,PE,1677874543
88,saldanha,-33.0117,17.9442,17.9,91,0,5.27,ZA,1677874530
89,bilibino,68.0546,166.4372,-41.85,99,45,1.81,RU,1677874522
90,cayenne,4.9333,-52.3333,25.02,88,100,4.63,GF,1677874526
91,matara,5.9485,80.5353,24.26,83,98,4.88,LK,1677874671
92,bathsheba,13.2167,-59.5167,27.34,65,75,7.72,BB,1677874535
93,yerbogachen,61.2767,108.0108,-8.72,96,94,2.65,RU,1677874493
94,bairiki,1.3292,172.9752,28.0,83,75,2.57,KI,1677874549
95,nanortalik,60.1432,-45.2371,5.28,75,22,7.69,GL,1677874491
96,saint george,37.1041,-113.5841,11.35,39,0,2.06,US,1677874518
97,san patricio,28.017,-97.5169,26.97,23,0,5.32,US,1677874510
98,dabeiba,7.0017,-76.2672,27.68,86,100,1.82,CO,1677874672
99,kenai,60.5544,-151.2583,-13.95,85,0,1.54,US,1677874667
100,kutum,14.2,24.6667,23.03,13,6,4.54,SD,1677874672
101,lokossa,6.6387,1.7167,27.92,76,100,3.26,BJ,1677874672
102,esperance,-33.8667,121.9,19.56,88,0,5.27,AU,1677874493
103,nieuw amsterdam,5.8833,-55.0833,27.3,81,40,1.03,SR,1677874672
104,bumba,2.1833,22.4667,27.23,52,99,0.68,CD,1677874672
105,northam,51.0333,-4.2167,4.78,75,36,3.58,GB,1677874511
106,bukachacha,52.9833,116.9167,-8.77,100,100,0.57,RU,1677874673
107,lagoa,39.05,-27.9833,14.05,68,100,5.83,PT,1677874514
108,nikolskoye,59.7035,30.7861,-3.06,97,80,2.2,RU,1677874499
109,shakawe,-18.3667,21.85,22.02,73,26,2.67,BW,1677874472
110,santa rosa,14.3122,121.1114,23.99,77,36,3.6,PH,1677874334
111,vila do maio,15.1333,-23.2167,23.44,75,64,5.91,CV,1677874673
112,carnarvon,-24.8667,113.6333,25.92,77,4,5.84,AU,1677874242
113,adeje,28.1227,-16.726,18.61,86,75,2.57,ES,1677874673
114,lompoc,34.6391,-120.4579,18.34,63,11,5.81,US,1677874520
115,salinopolis,-0.6136,-47.3561,25.98,86,99,6.72,BR,1677874673
116,hithadhoo,-0.6,73.0833,27.0,77,23,4.71,MV,1677874501
117,hofn,64.2539,-15.2082,1.79,87,100,4.42,IS,1677874511
118,ixtapa,20.7,-105.2,23.57,64,20,6.69,MX,1677874674
119,dudinka,69.4058,86.1778,-16.88,99,100,1.44,RU,1677874448
120,den helder,52.9599,4.7593,6.65,77,100,5.81,NL,1677874403
121,faanui,-16.4833,-151.75,27.59,72,98,1.4,PF,1677874513
122,saint-philippe,-21.3585,55.7679,26.77,81,91,3.66,RE,1677874498
123,calvia,39.5657,2.5062,8.31,72,49,1.43,ES,1677874665
124,cockburn town,21.4612,-71.1419,26.98,61,40,5.14,TC,1677874513
125,mae sot,16.7167,98.5667,21.35,54,2,0.79,TH,1677874674
126,stornoway,58.2093,-6.3865,6.07,76,75,0.0,GB,1677874674
127,port augusta,-32.5,137.7667,19.03,59,0,2.82,AU,1677874674
128,zhigalovo,54.8097,105.1578,-10.62,99,92,1.48,RU,1677874674
129,faya,18.3851,42.4509,15.29,58,1,1.57,SA,1677874675
130,klaksvik,62.2266,-6.589,3.51,70,82,4.8,FO,1677874343
131,pimentel,-6.8367,-79.9342,29.16,54,20,8.23,PE,1677874618
132,nuuk,64.1835,-51.7216,3.82,60,100,3.48,GL,1677874675
133,ilulissat,69.2167,-51.1,-2.99,86,40,1.03,GL,1677874524
134,praia da vitoria,38.7333,-27.0667,14.86,82,40,6.84,PT,1677874675
135,luanda,-8.8368,13.2343,27.0,78,20,5.14,AO,1677874537
136,vila franca do campo,37.7167,-25.4333,14.23,94,100,4.84,PT,1677874675
137,katobu,-4.9408,122.5276,23.57,91,90,0.21,ID,1677874537
138,sao filipe,14.8961,-24.4956,24.02,59,40,4.29,CV,1677874505
139,iwakura,35.2833,136.8667,6.92,58,87,1.72,JP,1677874675
140,khasan,42.4308,130.6434,-1.64,74,2,1.24,RU,1677874676
141,shache,38.4167,77.2406,6.86,41,66,0.95,CN,1677874676
142,pevek,69.7008,170.3133,-38.25,100,68,2.44,RU,1677874528
143,kahului,20.8947,-156.47,24.36,75,40,7.72,US,1677874520
144,geraldton,-28.7667,114.6,22.23,83,6,2.57,AU,1677874512
145,mount pleasant,32.7941,-79.8626,27.08,78,20,7.72,US,1677874676
146,maniitsoq,65.4167,-52.9,-0.6,77,100,6.1,GL,1677874501
